dataset,variant,flip_rate_top_minus_random,flip_rate_top_minus_bottom,n_rows
WormsTwoClass,real,0.06666666666666668,0.1,60
WormsTwoClass,shuffled_labels,0.16666666666666669,0.1,60
WormsTwoClass,permuted_weights,0.01666666666666667,0.05,60
MoteStrain,real,0.16666666666666669,0.15000000000000002,60
MoteStrain,shuffled_labels,-0.16666666666666666,-0.25,60
MoteStrain,permuted_weights,-0.03333333333333333,0.0,60
PowerCons,real,0.0,0.0,60
PowerCons,shuffled_labels,-0.04999999999999999,0.0,60
PowerCons,permuted_weights,0.05,0.05,60
ECG200,real,-0.08333333333333333,0.0,60
ECG200,shuffled_labels,0.06666666666666668,0.0,60
ECG200,permuted_weights,-0.033333333333333326,0.05,60
DistalPhalanxOutlineCorrect,real,0.2,0.35,60
DistalPhalanxOutlineCorrect,shuffled_labels,-0.16666666666666666,-0.04999999999999999,60
DistalPhalanxOutlineCorrect,permuted_weights,0.10000000000000003,0.10000000000000003,60
DistalPhalanxTW,real,-0.09999999999999999,-0.05,60
DistalPhalanxTW,shuffled_labels,0.04999999999999999,-0.1,60
DistalPhalanxTW,permuted_weights,0.05000000000000002,0.0,60
DistalPhalanxOutlineAgeGroup,real,0.1833333333333334,0.4,60
DistalPhalanxOutlineAgeGroup,shuffled_labels,0.21666666666666667,0.39999999999999997,60
DistalPhalanxOutlineAgeGroup,permuted_weights,-0.21666666666666665,-0.05000000000000002,60
CricketZ,real,0.0,0.1,60
CricketZ,shuffled_labels,0.08333333333333337,0.10000000000000003,60
CricketZ,permuted_weights,-0.05,0.0,60
CricketX,real,0.18333333333333332,0.15,60
CricketX,shuffled_labels,0.22916666666666674,0.1875,48
CricketX,permuted_weights,-0.016666666666666663,-0.04999999999999999,60
ProximalPhalanxTW,real,-0.19999999999999998,-0.6,60
ProximalPhalanxTW,shuffled_labels,-0.033333333333333326,-0.19999999999999998,60
ProximalPhalanxTW,permuted_weights,-0.35,-0.2,60
ProximalPhalanxOutlineAgeGroup,real,-0.033333333333333326,0.3,60
ProximalPhalanxOutlineAgeGroup,shuffled_labels,-0.1833333333333333,-0.35000000000000003,60
ProximalPhalanxOutlineAgeGroup,permuted_weights,-0.23333333333333334,-0.35000000000000003,60
WordSynonyms,real,0.06666666666666668,0.1,60
WordSynonyms,shuffled_labels,0.0,0.1,60
WordSynonyms,permuted_weights,-0.033333333333333326,-0.05000000000000002,60
ScreenType,real,0.1,0.15,60
ScreenType,shuffled_labels,-0.14999999999999997,-0.2,60
ScreenType,permuted_weights,0.05000000000000002,0.05000000000000002,60
GestureMidAirD3,real,0.24999999999999997,0.35,60
GestureMidAirD3,shuffled_labels,0.20000000000000007,0.20000000000000007,15
GestureMidAirD3,permuted_weights,0.04999999999999999,0.09999999999999999,60
GestureMidAirD2,real,0.3166666666666667,0.4,60
GestureMidAirD2,shuffled_labels,0.16666666666666663,0.16666666666666663,18
GestureMidAirD2,permuted_weights,0.11666666666666668,0.05000000000000002,60
ToeSegmentation1,real,-0.033333333333333326,0.05,60
ToeSegmentation1,shuffled_labels,-0.016666666666666666,0.0,60
ToeSegmentation1,permuted_weights,0.06666666666666667,0.09999999999999999,60
ToeSegmentation2,real,0.11666666666666667,0.09999999999999999,60
ToeSegmentation2,shuffled_labels,0.0,0.0,60
ToeSegmentation2,permuted_weights,0.01666666666666667,-0.05,60
EOGVerticalSignal,real,-0.06666666666666665,-0.15000000000000002,60
EOGVerticalSignal,shuffled_labels,-0.016666666666666607,-0.04999999999999993,60
EOGVerticalSignal,permuted_weights,-0.06666666666666665,-0.20000000000000007,60
Computers,real,0.03333333333333334,0.05,60
Computers,shuffled_labels,0.04999999999999999,0.04999999999999999,60
Computers,permuted_weights,-0.016666666666666666,0.0,60
Ham,real,0.13333333333333336,0.2,60
Ham,shuffled_labels,-0.05,-0.05,60
Ham,permuted_weights,0.08333333333333336,0.15000000000000002,60
EOGHorizontalSignal,real,0.14999999999999997,0.14999999999999997,60
EOGHorizontalSignal,shuffled_labels,0.2333333333333334,0.25,60
EOGHorizontalSignal,permuted_weights,0.2,0.2,60
