dataset,mean_hydra_drop,mean_shapley_drop,shapley_minus_hydra,cluster,cluster_name,distance_to_centroid
DistalPhalanxOutlineCorrect,0.4509291598250167,0.6858831881290401,0.23495402830402345,2,Short / moderately rough,1.7872175265744616
DistalPhalanxTW,0.24721064743353577,0.6135476585441267,0.36633701111059097,2,Short / moderately rough,1.8113706185664769
DodgerLoopDay,0.10965905163715325,0.09902191491889084,-0.010637136718262413,2,Short / moderately rough,2.870452036092232
DodgerLoopGame,0.1453349603234438,0.2971200207962695,0.15178506047282567,2,Short / moderately rough,2.884217915247417
DodgerLoopWeekend,0.042311290230290975,0.5082348560657544,0.4659235658354634,2,Short / moderately rough,2.882675218707764
ECG200,0.146065110706498,0.515109287331834,0.36904417662533606,2,Short / moderately rough,1.7760682640055443
ECG5000,0.434559265630967,0.6306549640590629,0.19609569842809588,2,Short / moderately rough,2.7209373952616915
ECGFiveDays,0.738450577531909,0.6132343319231265,-0.12521624560878253,2,Short / moderately rough,2.813177173685587
EOGHorizontalSignal,0.36824804615449247,0.266596458032505,-0.10165158812198749,3,Spiky / multi-class,2.0901629586657884
EOGVerticalSignal,0.48543668436318843,0.5163879273931118,0.03095124302992336,3,Spiky / multi-class,1.9574574958451123
Earthquakes,0.32256667474507705,0.3104370211833837,-0.012129653561693376,0,High-frequency / high-curvature,3.140258052104593
ElectricDevices,0.26539104888037823,0.3279009071986417,0.06250985831826344,2,Short / moderately rough,5.897277391951951
EthanolLevel,-0.13694827999599374,-0.3474227968990579,-0.21047451690306418,1,Smooth / low-complexity,1.7279372710760283
FaceAll,0.63059624716876,0.2658184434132513,-0.36477780375550867,2,Short / moderately rough,3.115150336088917
FaceFour,0.20332263634093012,0.16357611296164254,-0.03974652337928758,2,Short / moderately rough,2.686302039666149
FacesUCR,0.418746677614027,0.23004195953913284,-0.18870471807489417,2,Short / moderately rough,3.115150333471339
FiftyWords,0.21922599492748523,0.42777615536380437,0.20855016043631913,3,Spiky / multi-class,3.0554564308936816
Fish,0.5303236803313631,0.478995922207473,-0.05132775812389012,1,Smooth / low-complexity,1.0508892314003135
FordA,-0.21402355126620276,-0.1879960967636564,0.02602745450254637,2,Short / moderately rough,2.9534103667051923
FordB,0.12586853054894462,0.43200699843506146,0.30613846788611687,2,Short / moderately rough,3.0702203149410883
FreezerRegularTrain,0.2924578899589588,0.1983411643047942,-0.09411672565416462,1,Smooth / low-complexity,1.611191594409248
FreezerSmallTrain,0.06628868181733902,0.09157107085396236,0.025282389036623346,1,Smooth / low-complexity,1.5833721067916056
Fungi,0.5106340082943525,0.4791947078187618,-0.03143930047559068,3,Spiky / multi-class,2.612808565968018
GestureMidAirD1,0.39075940842159385,0.4558911206202195,0.06513171219862568,3,Spiky / multi-class,2.1076367944376724
GestureMidAirD2,0.2965183443144734,0.3887938867941829,0.09227554247970954,3,Spiky / multi-class,1.726255740002204
GestureMidAirD3,0.24220604354887038,0.20512864865810174,-0.03707739489076864,3,Spiky / multi-class,1.669319817331939
GesturePebbleZ1,0.33054344975944555,0.18000298702638884,-0.1505404627330567,3,Spiky / multi-class,3.007194775671875
GesturePebbleZ2,0.37412934075190646,0.31041123915565166,-0.0637181015962548,3,Spiky / multi-class,3.0033467301292105
GunPoint,0.3088433471922859,0.3688559812394966,0.06001263404721069,1,Smooth / low-complexity,1.5734385109175768
GunPointAgeSpan,0.12978433196113784,0.44592630821729945,0.3161419762561616,1,Smooth / low-complexity,1.401131019446788
GunPointMaleVersusFemale,0.12352288528346955,0.3526666354871536,0.22914375020368405,1,Smooth / low-complexity,1.3597726661388765
GunPointOldVersusYoung,0.13755229081711948,0.09804480160658789,-0.039507489210531585,1,Smooth / low-complexity,1.2730301065113612
Ham,0.1295092063237319,0.11252733407997009,-0.016981872243761797,3,Spiky / multi-class,2.083316902117489
HandOutlines,-1.8747936335081739,-0.9038199626574202,0.9709736708507537,1,Smooth / low-complexity,1.958833240525316
Haptics,0.20824829144046966,0.1934153490214173,-0.014832942419052364,1,Smooth / low-complexity,1.1446516348839826
Herring,-0.5393522223283318,-0.4280660240229398,0.11128619830539199,1,Smooth / low-complexity,1.3830117881964188
HouseTwenty,0.21645098487098252,0.20483951588996865,-0.011611468981013867,3,Spiky / multi-class,2.559612359038304
InlineSkate,0.22188424130602596,0.38917017663055337,0.1672859353245274,3,Spiky / multi-class,2.5181291681148066
InsectEPGRegularTrain,0.051350057530357575,0.07666666274098219,0.025316605210624614,1,Smooth / low-complexity,7.432875111402221
InsectEPGSmallTrain,0.01886436239350408,0.04881926737783001,0.02995490498432593,1,Smooth / low-complexity,7.289336744411142
InsectWingbeatSound,0.2894376955548127,0.27680910987594304,-0.012628585678869653,3,Spiky / multi-class,2.201693299183828
ItalyPowerDemand,0.03530906549683736,0.47012658773182536,0.434817522234988,2,Short / moderately rough,2.502117162789985
LargeKitchenAppliances,0.8303157993839033,0.8948234205000427,0.06450762111613939,3,Spiky / multi-class,4.734290136176115
Lightning2,0.044756753893031465,0.060376887291658264,0.0156201333986268,3,Spiky / multi-class,3.2949218716333823
Lightning7,0.20411188110745226,0.25667471638014205,0.05256283527268979,3,Spiky / multi-class,2.5428516036332454
Mallat,0.45387357435344067,0.5548734342360417,0.10099985988260107,1,Smooth / low-complexity,1.6644839652583954
Meat,1.6240073754411095,1.216719072877582,-0.40728830256352744,3,Spiky / multi-class,2.513916339171437
MedicalImages,0.5108610262554758,0.1976110691280244,-0.3132499571274514,3,Spiky / multi-class,2.293462586876723
MelbournePedestrian,0.45525903152717395,0.5847993256937517,0.12954029416657775,2,Short / moderately rough,2.905673440618872
MiddlePhalanxOutlineAgeGroup,1.1352709573464355,0.3900734330470368,-0.7451975242993987,2,Short / moderately rough,1.998806470483441
MiddlePhalanxOutlineCorrect,0.3278534603730492,0.46530127040828073,0.13744781003523154,2,Short / moderately rough,1.9762166134243837
MiddlePhalanxTW,0.3990038574173786,0.5187372269088772,0.11973336949149865,2,Short / moderately rough,1.9880453922820736
MixedShapesRegularTrain,0.40119085910057295,0.5716306708011281,0.1704398117005551,1,Smooth / low-complexity,1.609703944659045
MixedShapesSmallTrain,0.32741623499946326,0.4752739141515119,0.14785767915204862,1,Smooth / low-complexity,1.514416452424038
MoteStrain,0.3342560267508606,0.21752975720616377,-0.11672626954469681,2,Short / moderately rough,1.2393988738008244
NonInvasiveFetalECGThorax1,0.6130528455908149,0.5562656964626276,-0.056787149128187275,3,Spiky / multi-class,2.9786347383584824
NonInvasiveFetalECGThorax2,0.5029130932227618,0.24934684046317526,-0.25356625275958655,3,Spiky / multi-class,3.0032352069304715
OSULeaf,0.3116253039251502,0.2437669179965578,-0.06785838592859239,1,Smooth / low-complexity,0.9149545078133228
OliveOil,-3.23560660177487,-1.2264000047798809,2.0092065969949893,3,Spiky / multi-class,2.435832982578197
PLAID,0.1878396484414015,0.19403856228035285,0.006198913838951353,3,Spiky / multi-class,4.214917328299404
PhalangesOutlinesCorrect,0.4221193357134553,0.9330212628008836,0.5109019270874283,2,Short / moderately rough,2.039354414662905
Phoneme,0.043968412422518595,0.026239780124735095,-0.0177286322977835,3,Spiky / multi-class,3.5076559104810907
PickupGestureWiimoteZ,0.19527120426318031,0.28005576430049783,0.08478456003731752,3,Spiky / multi-class,2.465064939211272
PigAirwayPressure,0.1845012616538112,0.07733044244516617,-0.10717081920864503,3,Spiky / multi-class,3.55199657244614
PigArtPressure,0.29292567057959024,0.23658100009052818,-0.056344670489062054,3,Spiky / multi-class,4.040331748292793
PigCVP,0.1986402352902767,0.0849377580075504,-0.11370247728272628,3,Spiky / multi-class,3.65544857064873
Plane,0.28695323840904813,0.4415718797071822,0.15461864129813407,2,Short / moderately rough,2.2206990507965987
PowerCons,0.14766603723768898,0.09492653191312687,-0.052739505324562105,2,Short / moderately rough,1.7453814480642724
ProximalPhalanxOutlineAgeGroup,0.27196685466654935,-0.2897329461581635,-0.5616998008247128,2,Short / moderately rough,1.938405913974505
ProximalPhalanxOutlineCorrect,0.406098256175908,0.6285267247536257,0.2224284685777177,2,Short / moderately rough,1.9390938197774463
ProximalPhalanxTW,0.10648251842034692,0.440440461598823,0.33395794317847605,2,Short / moderately rough,1.9277363419309208
RefrigerationDevices,0.18730834359311266,0.17855576247978627,-0.008752581113326385,2,Short / moderately rough,2.332927766182439
Rock,0.2345373286559395,0.12297711920956315,-0.11156020944637633,1,Smooth / low-complexity,2.370269677181633
ScreenType,0.07124819672572244,-0.025244650535123654,-0.09649284726084609,3,Spiky / multi-class,1.6592360080938642
SemgHandGenderCh2,0.17152795377302876,0.3381214376334157,0.16659348386038692,0,High-frequency / high-curvature,2.4038190827680506
SemgHandMovementCh2,-0.004201640754367897,0.00897566593291348,0.013177306687281377,0,High-frequency / high-curvature,2.40516079817336
SemgHandSubjectCh2,-0.12914086092022195,0.2776699281230145,0.4068107890432364,0,High-frequency / high-curvature,2.397724650725273
ShakeGestureWiimoteZ,0.5322741182736447,0.47004864624814663,-0.06222547202549805,3,Spiky / multi-class,3.2627634859121786
ShapeletSim,-0.23216939533726028,0.3034115217396596,0.5355809170769199,0,High-frequency / high-curvature,4.240624908811422
ShapesAll,0.3082069963631155,0.37935672570489565,0.07114972934178015,3,Spiky / multi-class,4.610530334803597
SmallKitchenAppliances,-0.18200571715707553,-0.10407580667801837,0.07792991047905716,0,High-frequency / high-curvature,10.8846098885688
SmoothSubspace,0.2677508915140658,0.17832211112237728,-0.0894287803916885,0,High-frequency / high-curvature,5.700208471193434
SonyAIBORobotSurface1,0.19042889253485268,0.22851589622569574,0.03808700369084306,2,Short / moderately rough,2.1808489278711054
SonyAIBORobotSurface2,0.13836776666343145,0.3406429654813329,0.20227519881790143,2,Short / moderately rough,4.508253354984201
StarLightCurves,0.9291723293764733,1.2698110448003033,0.34063871542382995,1,Smooth / low-complexity,2.509721051688852
Strawberry,-0.362034154247317,0.04914199368904143,0.4111761479363584,3,Spiky / multi-class,2.478031521900656
SwedishLeaf,0.5884521017378346,0.5427685882612108,-0.045683513476623805,2,Short / moderately rough,2.1033323796045016
Symbols,0.37520990691200345,0.3739924817442509,-0.0012174251677525283,1,Smooth / low-complexity,0.6273526147256314
SyntheticControl,0.24449099915445913,0.23791441494980084,-0.006576584204658287,2,Short / moderately rough,3.917058208630888
ToeSegmentation1,0.040056340458946724,0.22991389832823633,0.1898575578692896,3,Spiky / multi-class,1.831150655840708
ToeSegmentation2,0.5028254491751104,0.5891937602226273,0.08636831104751685,3,Spiky / multi-class,1.8688360591139643
Trace,0.69664515852713,0.5038443920029271,-0.19280076652420297,1,Smooth / low-complexity,1.05609793000233
TwoLeadECG,0.44107637660443666,0.4746337959446528,0.033557419340216166,2,Short / moderately rough,2.428227070370208
TwoPatterns,-0.02712351625505094,0.5086267496186851,0.5357502658737361,2,Short / moderately rough,2.816722744158559
UMD,0.7021199651322364,0.6038952256869421,-0.0982247394452943,1,Smooth / low-complexity,1.5997311081274277
UWaveGestureLibraryAll,0.2195262456634322,0.37514248251532967,0.15561623685189746,1,Smooth / low-complexity,2.069059014802841
UWaveGestureLibraryX,0.32446077797066375,0.239301149191818,-0.08515962877884575,1,Smooth / low-complexity,1.7995208202982338
UWaveGestureLibraryY,0.4356188056256953,0.43484384125291536,-0.0007749643727799627,1,Smooth / low-complexity,1.79447659604928
UWaveGestureLibraryZ,0.3007758937075496,0.21106792652494327,-0.08970796718260632,1,Smooth / low-complexity,1.799846237103965
Wafer,0.14594413923080837,0.11506114620738161,-0.030882993023426758,2,Short / moderately rough,2.2443165564066585
Wine,-0.8840816989797495,-1.0445496415841118,-0.16046794260436226,3,Spiky / multi-class,2.209547749672484
WordSynonyms,0.21021244812239065,0.2716434503548528,0.06143100223246217,3,Spiky / multi-class,1.5291924362796228
Worms,0.19679779824269894,0.3201367821413025,0.12333898389860354,1,Smooth / low-complexity,1.3234107792448988
WormsTwoClass,0.10878902479220871,0.30401360572697445,0.19522458093476575,1,Smooth / low-complexity,1.3444030042673782
Yoga,0.18009636023103207,0.4527246013305687,0.27262824109953665,1,Smooth / low-complexity,1.668504759369838
