fraction,mode,perturbation,n_samples,mean_score_drop,mean_bounded_relative_score_drop,flip_rate,base_accuracy,dataset,model
0.1,top,global_mean,50,0.1770555930434446,0.42926421132933584,0.24,0.89,ACSF1,HYDRA
0.1,bottom,global_mean,50,0.0868610100490929,0.26763149964316557,0.04,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,random,global_mean,50,0.4284599897403742,0.6285550563431781,0.2,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,top,global_mean,50,0.9409417815465511,0.7786395350991776,0.68,0.8026666666666666,SmallKitchenAppliances,HYDRA
0.1,bottom,global_mean,50,0.17266275916049773,0.22836430216939985,0.0,0.978894472361809,Symbols,HYDRA
0.1,random,global_mean,50,0.27930975498383265,0.33728248403800054,0.027999999999999997,0.978894472361809,Symbols,HYDRA
0.1,top,global_mean,50,0.35290278496908156,0.5354150276711954,0.02,0.978894472361809,Symbols,HYDRA
0.1,bottom,global_mean,50,0.15116243177858463,0.2889217580189545,0.0,0.987603305785124,OSULeaf,HYDRA
0.1,random,global_mean,50,0.20313427733404513,0.30123465430623797,0.012000000000000002,0.987603305785124,OSULeaf,HYDRA
0.1,top,global_mean,50,0.32708545859210203,0.4888374110223646,0.04,0.987603305785124,OSULeaf,HYDRA
0.1,bottom,global_mean,50,0.2663211155099233,0.2588916283589159,0.18,0.9885714285714285,Fish,HYDRA
0.1,random,global_mean,50,0.3607421703206515,0.4053716043438971,0.228,0.9885714285714285,Fish,HYDRA
0.1,top,global_mean,50,0.43567297452270254,0.4543609445001756,0.3,0.9885714285714285,Fish,HYDRA
0.1,bottom,global_mean,50,0.16104738265059282,0.13915327950047035,0.12,1.0,Trace,HYDRA
0.1,random,global_mean,50,0.3503075808159625,0.286754170140901,0.21600000000000003,1.0,Trace,HYDRA
0.1,top,global_mean,50,0.7541212294652732,0.6248730992946138,0.2,1.0,Trace,HYDRA
0.1,bottom,global_mean,50,0.3291884249406932,0.37639262579707733,0.04,0.9509803921568627,DiatomSizeReduction,HYDRA
0.1,random,global_mean,50,0.3037939297494254,0.3271807128300479,0.08800000000000001,0.9509803921568627,DiatomSizeReduction,HYDRA
0.1,top,global_mean,50,0.2829321316383083,0.32485083182504626,0.04,0.9509803921568627,DiatomSizeReduction,HYDRA
0.1,bottom,global_mean,50,0.1326956412352016,0.31784593112723303,0.38,0.5162337662337663,Haptics,HYDRA
0.1,random,global_mean,50,0.1906661335543429,0.3552833077433468,0.332,0.5162337662337663,Haptics,HYDRA
0.1,top,global_mean,50,0.2844415230339246,0.41094598093575463,0.42,0.5162337662337663,Haptics,HYDRA
0.1,bottom,global_mean,50,-0.03786975752768344,-0.17986233019412975,0.1,0.8114285714285714,ArrowHead,HYDRA
0.1,random,global_mean,50,0.025991348215630553,-0.08110410262984795,0.192,0.8114285714285714,ArrowHead,HYDRA
0.1,top,global_mean,50,0.03944073566561943,-0.13168732586679396,0.16,0.8114285714285714,ArrowHead,HYDRA
0.1,bottom,global_mean,50,0.14486694668004996,0.1478871887951866,0.0,1.0,GunPointOldVersusYoung,HYDRA
0.1,random,global_mean,50,0.014788047823839958,0.012362800583636108,0.0,1.0,GunPointOldVersusYoung,HYDRA
0.1,top,global_mean,50,-0.13811223850196444,-0.14225806179215128,0.0,1.0,GunPointOldVersusYoung,HYDRA
0.1,bottom,global_mean,50,0.011913684569252842,-0.04840126695942432,0.02,0.7402597402597403,Worms,HYDRA
0.1,random,global_mean,50,0.03322025714844329,0.029295729221398406,0.076,0.7402597402597403,Worms,HYDRA
0.1,top,global_mean,50,0.14116439845775006,0.28952505542643714,0.12,0.7402597402597403,Worms,HYDRA
0.1,bottom,global_mean,50,0.08096680791012201,0.11779324499000215,0.06,0.7662337662337663,WormsTwoClass,HYDRA
0.1,random,global_mean,50,0.0809467060980166,0.12772791530127983,0.07200000000000001,0.7662337662337663,WormsTwoClass,HYDRA
0.1,top,global_mean,50,0.17438038763580063,0.271233586490378,0.1,0.7662337662337663,WormsTwoClass,HYDRA
0.1,bottom,global_mean,50,0.06828100438475478,0.11171198505336623,0.06,0.9329073482428115,MoteStrain,HYDRA
0.1,random,global_mean,50,0.12815545080683446,0.19350051555684641,0.052000000000000005,0.9329073482428115,MoteStrain,HYDRA
0.1,top,global_mean,50,0.19083450100914556,0.24745273406261373,0.1,0.9329073482428115,MoteStrain,HYDRA
0.1,bottom,global_mean,50,-0.006119865765618495,-0.02212355515536457,0.0,0.9722222222222222,PowerCons,HYDRA
0.1,random,global_mean,50,0.032041906209241425,0.029292765101624537,0.012000000000000002,0.9722222222222222,PowerCons,HYDRA
0.1,top,global_mean,50,0.0861540597095633,0.08136215808069823,0.04,0.9722222222222222,PowerCons,HYDRA
0.1,bottom,global_mean,50,0.13725419912024495,0.11276103272590618,0.04,0.89,ECG200,HYDRA
0.1,random,global_mean,50,0.19538888354185968,0.24163863644433303,0.08,0.89,ECG200,HYDRA
0.1,top,global_mean,50,0.14466649561888928,0.200084064651825,0.12,0.89,ECG200,HYDRA
0.1,bottom,global_mean,50,0.23539136518954623,0.3051584684498348,0.26,0.7463768115942029,DistalPhalanxOutlineCorrect,HYDRA
0.1,random,global_mean,50,0.47804458609316414,0.5236878889947705,0.38,0.7463768115942029,DistalPhalanxOutlineCorrect,HYDRA
0.1,top,global_mean,50,0.5843098143052845,0.5534658206733218,0.52,0.7463768115942029,DistalPhalanxOutlineCorrect,HYDRA
0.1,bottom,global_mean,50,0.4136760422437291,0.49806871240526013,0.14,0.697841726618705,DistalPhalanxTW,HYDRA
0.1,random,global_mean,50,0.41348693944095694,0.49299435325985813,0.252,0.697841726618705,DistalPhalanxTW,HYDRA
0.1,top,global_mean,50,0.28010606580183756,0.4587118424905814,0.16,0.697841726618705,DistalPhalanxTW,HYDRA
0.1,bottom,global_mean,50,-0.025783921068841646,-0.08906819896335882,0.14,0.762589928057554,DistalPhalanxOutlineAgeGroup,HYDRA
0.1,random,global_mean,50,0.2507727579367217,0.3601919348472852,0.376,0.762589928057554,DistalPhalanxOutlineAgeGroup,HYDRA
0.1,top,global_mean,50,0.4588676306207604,0.8615343369598025,0.48,0.762589928057554,DistalPhalanxOutlineAgeGroup,HYDRA
0.1,bottom,global_mean,50,0.04957453590899818,0.14786725715292426,0.06,0.8,CricketZ,HYDRA
0.1,random,global_mean,50,0.13729942763828654,0.31712696092596404,0.16,0.8,CricketZ,HYDRA
0.1,top,global_mean,50,0.4122199009701387,0.7125748146908247,0.26,0.8,CricketZ,HYDRA
0.1,bottom,global_mean,50,0.07347094280363081,0.1926074488953359,0.22,0.8128205128205128,CricketX,HYDRA
0.1,random,global_mean,50,0.18357203215240173,0.3865326756279287,0.20400000000000001,0.8128205128205128,CricketX,HYDRA
0.1,top,global_mean,50,0.4028230029280639,0.5955229471418955,0.32,0.8128205128205128,CricketX,HYDRA
0.1,bottom,global_mean,50,0.5330099235674158,0.6259980195563487,0.58,0.7853658536585366,ProximalPhalanxTW,HYDRA
0.1,random,global_mean,50,0.4599544321463212,0.41225551751447914,0.46,0.7853658536585366,ProximalPhalanxTW,HYDRA
0.1,top,global_mean,50,0.15029272710792266,0.18152895286102413,0.3,0.7853658536585366,ProximalPhalanxTW,HYDRA
0.1,bottom,global_mean,50,0.1280460899570523,0.25502274901279465,0.32,0.8634146341463415,ProximalPhalanxOutlineAgeGroup,HYDRA
0.1,random,global_mean,50,0.5685142689715433,0.5988992851811691,0.648,0.8634146341463415,ProximalPhalanxOutlineAgeGroup,HYDRA
0.1,top,global_mean,50,0.8024265478880612,0.8463651781906194,0.7,0.8634146341463415,ProximalPhalanxOutlineAgeGroup,HYDRA
0.1,bottom,global_mean,50,0.0869859117008403,0.19846861605155458,0.28,0.7445141065830722,WordSynonyms,HYDRA
0.1,random,global_mean,50,0.15622250649841446,0.3338581007478373,0.34800000000000003,0.7445141065830722,WordSynonyms,HYDRA
0.1,top,global_mean,50,0.20786786979903163,0.45897704506210674,0.32,0.7445141065830722,WordSynonyms,HYDRA
0.1,bottom,global_mean,50,0.1033473952397946,0.3957129784880838,0.26,0.4826666666666667,ScreenType,HYDRA
0.1,random,global_mean,50,0.0752227270921203,0.20967530196304407,0.22400000000000003,0.4826666666666667,ScreenType,HYDRA
0.1,top,global_mean,50,0.22553977417058085,0.5341628322864135,0.42,0.4826666666666667,ScreenType,HYDRA
0.1,bottom,global_mean,50,0.00830414048704164,-0.03365167525315579,0.1,0.47692307692307695,GestureMidAirD3,HYDRA
0.1,random,global_mean,50,0.07676805596002204,0.15955531960108268,0.20400000000000001,0.47692307692307695,GestureMidAirD3,HYDRA
0.1,top,global_mean,50,0.17925671471683888,0.45062206740428723,0.38,0.47692307692307695,GestureMidAirD3,HYDRA
0.1,bottom,global_mean,50,0.01433502167901813,0.000451662420604286,0.06,0.676923076923077,GestureMidAirD2,HYDRA
0.1,random,global_mean,50,0.11613375165663886,0.33038196210430065,0.192,0.676923076923077,GestureMidAirD2,HYDRA
0.1,top,global_mean,50,0.25397217115477616,0.6532865768482607,0.42,0.676923076923077,GestureMidAirD2,HYDRA
0.1,bottom,global_mean,50,0.10237576959205713,0.18004277499930088,0.02,0.956140350877193,ToeSegmentation1,HYDRA
0.1,random,global_mean,50,0.19207583765569514,0.3229115860223195,0.1,0.956140350877193,ToeSegmentation1,HYDRA
0.1,top,global_mean,50,0.2299884985106668,0.38027737639945564,0.06,0.956140350877193,ToeSegmentation1,HYDRA
0.1,bottom,global_mean,50,0.08111438544299178,0.10384695241452147,0.04,0.8923076923076924,ToeSegmentation2,HYDRA
0.1,random,global_mean,50,0.24648522618105229,0.268434773690653,0.05600000000000001,0.8923076923076924,ToeSegmentation2,HYDRA
0.1,top,global_mean,50,0.41034490369766274,0.44737918506156144,0.14,0.8923076923076924,ToeSegmentation2,HYDRA
0.1,bottom,global_mean,50,0.2580426448597043,0.6248055141179227,0.5,0.4861878453038674,EOGVerticalSignal,HYDRA
0.1,random,global_mean,50,0.2544991892578036,0.5581933438056225,0.43200000000000005,0.4861878453038674,EOGVerticalSignal,HYDRA
0.1,top,global_mean,50,0.2400875694090235,0.4981849038784134,0.48,0.4861878453038674,EOGVerticalSignal,HYDRA
0.1,bottom,global_mean,50,0.11143259704860471,0.07284027801335535,0.06,0.712,Computers,HYDRA
0.1,random,global_mean,50,0.13331526147634284,0.09802480552946106,0.032,0.712,Computers,HYDRA
0.1,top,global_mean,50,0.10676209420222295,0.06182755230782047,0.06,0.712,Computers,HYDRA
0.1,bottom,global_mean,50,0.0936808425518769,0.14624869130613907,0.1,0.7142857142857143,Ham,HYDRA
0.1,random,global_mean,50,0.13564316259656,0.21157256704101207,0.092,0.7142857142857143,Ham,HYDRA
0.1,top,global_mean,50,0.20968773335617075,0.30157155407578706,0.14,0.7142857142857143,Ham,HYDRA
0.1,bottom,global_mean,50,-0.05697075853314877,0.0002955765685051337,0.3,0.5773480662983426,EOGHorizontalSignal,HYDRA
0.1,random,global_mean,50,0.02398778321900279,0.0851364832210688,0.376,0.5773480662983426,EOGHorizontalSignal,HYDRA
0.1,top,global_mean,50,0.128442077225272,0.18501401076858354,0.38,0.5773480662983426,EOGHorizontalSignal,HYDRA
