dataset,fraction,mean_iou,median_iou,mean_overlap_fraction,mean_centre_distance,hydra_score_drop,shap_score_drop,hydra_flip_rate,shap_flip_rate,n_samples,shap_minus_hydra_score_drop,shap_minus_hydra_flip_rate
EOGVerticalSignal,0.2,0.18491719231485174,0.0592841163310962,0.256,0.25148000000000004,0.46355934361884843,0.47109672787542606,0.7,0.9,20,0.007537384256577628,0.20000000000000007
Earthquakes,0.05,0.05224567099567099,0.0,0.07307692307692308,0.307421875,0.2652801741027248,0.21263408932931788,0.0,0.0,20,-0.05264608477340693,0.0
Earthquakes,0.1,0.21703128765853846,0.0,0.2519607843137255,0.27158203125,0.3163346992481677,0.24593435858005339,0.05,0.0,20,-0.07040034066811432,-0.05
Earthquakes,0.2,0.2955710491791391,0.03596009589358905,0.3411764705882353,0.1966796875,0.5060166261274741,0.48041047231515144,0.1,0.15,20,-0.025606153812322674,0.04999999999999999
Fish,0.05,0.021875,0.0,0.030434782608695653,0.32386609071274297,0.2590784053973367,0.27939483757923134,0.1,0.2,20,0.02031643218189466,0.1
Fish,0.1,0.12459895784816995,0.0,0.16195652173913042,0.20388768898488122,0.37776535689967544,0.4401962105251309,0.25,0.3,20,0.062430853625455474,0.04999999999999999
Fish,0.2,0.28965731571148684,0.07763975155279502,0.3435483870967742,0.25561555075593956,0.6655584944913691,0.6316321111811812,0.5,0.5,20,-0.033926383310187824,0.0
GestureMidAirD2,0.05,0.05771428571428572,0.0,0.07222222222222223,0.29541666666666666,0.12717252897945247,0.28535894297294295,0.15,0.4,20,0.15818641399349048,0.25
GestureMidAirD2,0.1,0.17708056633913788,0.0,0.23055555555555554,0.2131944444444444,0.251682306183143,0.34319610757122104,0.4,0.45,20,0.09151380138807802,0.04999999999999999
GestureMidAirD2,0.2,0.2466265794336963,0.04728657569025706,0.30347222222222225,0.21833333333333332,0.3741553714870019,0.5208048751565203,0.65,0.6,20,0.1466495036695184,-0.050000000000000044
GestureMidAirD3,0.05,0.12714285714285714,0.0,0.15555555555555556,0.17166666666666666,0.22565685799222143,0.23065719536901944,0.25,0.25,20,0.005000337376798003,0.0
GestureMidAirD3,0.1,0.1784757288625045,0.04435568635694765,0.24027777777777776,0.1951388888888889,0.26834904509205443,0.3480750258003948,0.35,0.35,20,0.07972598070834036,0.0
GestureMidAirD3,0.2,0.2260538599215506,0.1852052567402791,0.3159722222222222,0.1913888888888889,0.3993295536529021,0.4417131777600353,0.6,0.55,20,0.0423836241071332,-0.04999999999999993
GunPointOldVersusYoung,0.05,0.07423687423687424,0.0,0.1,0.2843333333333333,-0.11020857744509763,0.055791932174007616,0.0,0.0,20,0.16600050961910523,0.0
GunPointOldVersusYoung,0.1,0.15439574168959475,0.0,0.19333333333333333,0.22866666666666666,-0.15104437267368873,-0.008808263047410414,0.0,0.0,20,0.1422361096262783,0.0
GunPointOldVersusYoung,0.2,0.26857557906761653,0.05555555555555555,0.31666666666666665,0.24233333333333335,-0.369434983332269,-0.2401396856198689,0.0,0.0,20,0.1292952977124001,0.0
Ham,0.05,0.14723393736900464,0.0,0.18863636363636366,0.27018561484918796,0.3248028974851104,0.3143796135351454,0.05,0.15,20,-0.010423283949965001,0.09999999999999999
Ham,0.1,0.25913600523770014,0.10256410256410256,0.32790697674418606,0.1906032482598608,0.4031274812681501,0.44702130099998005,0.25,0.25,20,0.04389381973182993,0.0
Ham,0.2,0.5117762357815495,0.55812428266929,0.5924418604651163,0.14234338747099767,0.582994754210838,0.6466339128267131,0.45,0.45,20,0.0636391586158751,0.0
Haptics,0.05,0.04596410927056088,0.0,0.06818181818181819,0.3510989010989011,0.18708638235613378,0.30176713343619765,0.3,0.35,20,0.11468075108006387,0.04999999999999999
Haptics,0.1,0.11633798822429757,0.0,0.14403669724770643,0.2923992673992674,0.29663399330287527,0.33390212992633467,0.35,0.45,20,0.0372681366234594,0.10000000000000003
Haptics,0.2,0.23288947659954756,0.0,0.26238532110091745,0.2735805860805861,0.5041656257878929,0.3968116698698948,0.5,0.4,20,-0.10735395591799812,-0.09999999999999998
MoteStrain,0.05,0.0,0.0,0.0,0.3547619047619047,0.21514289951220528,0.18455699046050555,0.1,0.05,20,-0.030585909051699722,-0.05
MoteStrain,0.1,0.019999999999999997,0.0,0.03125,0.3696428571428571,0.28121912630926205,0.23753861317571823,0.2,0.05,20,-0.04368051313354382,-0.15000000000000002
MoteStrain,0.2,0.14141841982234687,0.0,0.18823529411764706,0.37797619047619047,0.2693190951660961,0.38490357433679895,0.2,0.2,20,0.11558447917070286,0.0
OSULeaf,0.05,0.0684420051912312,0.0,0.10238095238095238,0.2832552693208431,0.3102251728569519,0.234181680752057,0.05,0.05,20,-0.07604349210489489,0.0
OSULeaf,0.1,0.13563903767687005,0.0,0.16627906976744186,0.3141686182669789,0.34725694651373584,0.3064081435751008,0.05,0.0,20,-0.04084880293863502,-0.05
OSULeaf,0.2,0.18473747107757993,0.08992273549235574,0.24823529411764705,0.23618266978922717,0.4674507814112528,0.43467748408139767,0.1,0.1,20,-0.03277329732985512,0.0
PowerCons,0.05,0.14891414141414142,0.0,0.17857142857142855,0.3211805555555555,-0.034480241642977714,-0.23903468216496124,0.0,0.0,20,-0.20455444052198352,0.0
PowerCons,0.1,0.2725730994152047,0.0,0.325,0.2652777777777778,-0.11779563656487932,-0.23362480851091982,0.0,0.0,20,-0.1158291719460405,0.0
PowerCons,0.2,0.20924467520212203,0.0,0.2517241379310345,0.30486111111111114,-0.14749305379988065,-0.2730221034673449,0.0,0.0,20,-0.12552904966746425,0.0
ProximalPhalanxOutlineAgeGroup,0.05,0.0,0.0,0.0,0.25187499999999996,0.31566175509298144,0.4534712374831142,0.25,0.6,20,0.13780948239013274,0.35
ProximalPhalanxOutlineAgeGroup,0.1,0.028205128205128206,0.0,0.04375,0.30375,0.6208366201855211,0.4335916011082802,0.5,0.7,20,-0.1872450190772409,0.19999999999999996
ProximalPhalanxOutlineAgeGroup,0.2,0.1062690467362325,0.0,0.14375,0.34750000000000003,1.3829335795396567,0.6897979999312909,0.7,0.7,20,-0.6931355796083658,0.0
ProximalPhalanxTW,0.05,0.060952380952380945,0.0,0.0875,0.13999999999999999,0.10241016393329114,0.2269114790296482,0.15,0.15,20,0.12450131509635706,0.0
ProximalPhalanxTW,0.1,0.13254856254856257,0.0,0.175,0.165625,-0.004563480704041456,0.16051010659022166,0.15,0.2,20,0.1650735872942631,0.05000000000000002
ProximalPhalanxTW,0.2,0.2821297760697689,0.25538461538461543,0.38125,0.148125,-0.3843576606555442,-0.12983847135986196,0.25,0.2,20,0.2545191892956823,-0.04999999999999999
ScreenType,0.05,0.14930982061416845,0.0,0.18472222222222223,0.22305555555555556,0.17100041043932662,0.18796957529852365,0.1,0.2,20,0.016969164859197028,0.1
ScreenType,0.1,0.22668440870165457,0.0,0.2673611111111111,0.23631944444444444,0.2723129042036675,0.3392441194201644,0.25,0.35,20,0.06693121521649692,0.09999999999999998
ScreenType,0.2,0.395145962034832,0.0783132530120482,0.42847222222222225,0.2261111111111111,0.3910722776429692,0.5632819811269282,0.45,0.6,20,0.17220970348395898,0.14999999999999997
SemgHandGenderCh2,0.05,0.06826923076923078,0.0,0.07866666666666666,0.36743333333333333,0.17314151146327647,0.3405942823192043,0.2,0.3,20,0.16745277085592783,0.09999999999999998
SemgHandGenderCh2,0.1,0.08397799045710301,0.0,0.11833333333333333,0.35069999999999996,0.3357131760513276,0.4547831454292913,0.5,0.5,20,0.11906996937796371,0.0
SemgHandGenderCh2,0.2,0.14680025101337185,0.0,0.1995,0.3267666666666667,0.20230958600620896,0.3915272121326218,0.4,0.55,20,0.18921762612641285,0.15000000000000002
SemgHandMovementCh2,0.05,0.04304218141890127,0.0,0.06666666666666667,0.3191333333333334,0.08965483515747621,0.23493951800181295,0.2,0.35,20,0.14528468284433674,0.14999999999999997
SemgHandMovementCh2,0.1,0.0818052883602713,0.0,0.10900000000000001,0.3290666666666667,-0.19911379198815077,-0.025484587840561512,0.15,0.5,20,0.17362920414758926,0.35
SemgHandMovementCh2,0.2,0.2311450165800928,0.0,0.29166666666666663,0.2719333333333333,-0.9703744261906204,-0.7069415259577322,0.2,0.3,20,0.26343290023288823,0.09999999999999998
SemgHandSubjectCh2,0.05,0.0,0.0,0.0,0.3048,0.0010564561305456688,-0.056371794641777086,0.0,0.0,20,-0.057428250772322754,0.0
SemgHandSubjectCh2,0.1,0.10731129772483157,0.0,0.11633333333333333,0.27623333333333333,-0.2120898548841869,-0.23565399292815017,0.0,0.0,20,-0.023564138043963262,0.0
SemgHandSubjectCh2,0.2,0.12152501301783661,0.0,0.18083333333333335,0.26576666666666665,-0.8455757070253188,-0.7242667055176476,0.0,0.0,20,0.12130900150767121,0.0
ShapeletSim,0.05,0.026262626262626265,0.0,0.04,0.2857,0.3825178137354984,0.23571648043491286,0.2,0.15,20,-0.14680133330058556,-0.05000000000000002
ShapeletSim,0.1,0.007471264367816093,0.0,0.013000000000000001,0.35340000000000005,0.6961074151815515,0.4816512445105586,0.5,0.3,20,-0.21445617067099293,-0.2
ShapeletSim,0.2,0.1429698016780591,0.0,0.1925,0.2834,1.3785488019461578,1.1174629834056262,1.0,0.95,20,-0.2610858185405316,-0.050000000000000044
SmallKitchenAppliances,0.05,0.33061530861422306,0.3584905660377358,0.4125,0.14423611111111112,0.7462152890873048,0.707559159732053,0.45,0.45,20,-0.03865612935525187,0.0
SmallKitchenAppliances,0.1,0.3687896960675358,0.3044761436301033,0.44027777777777777,0.12243055555555556,1.0920032079488025,1.009786771756752,0.7,0.75,20,-0.08221643619205055,0.050000000000000044
SmallKitchenAppliances,0.2,0.4872234384658823,0.64576802507837,0.5576388888888888,0.14777777777777779,1.5818313814972562,1.4109388656218622,0.85,0.85,20,-0.170892515875394,0.0
SmoothSubspace,0.05,0.1,0.0,0.1,0.44333333333333336,0.15004751090616958,0.17431448152313495,0.05,0.05,20,0.024266970616965367,0.0
SmoothSubspace,0.1,0.06666666666666667,0.0,0.075,0.43666666666666665,0.1660135429046601,0.21484806035166998,0.1,0.05,20,0.04883451744700987,-0.05
SmoothSubspace,0.2,0.06999999999999999,0.0,0.1,0.4533333333333333,0.3021419864905814,0.3252793874522758,0.15,0.1,20,0.02313740096169442,-0.04999999999999999
Symbols,0.05,0.06596218596218596,0.0,0.09,0.27248743718592966,0.24218280679817467,0.2887796616585663,0.0,0.0,20,0.04659685486039161,0.0
Symbols,0.1,0.06608751336874616,0.0,0.0975,0.23329145728643214,0.3444500241410028,0.4471933738838003,0.0,0.05,20,0.10274334974279753,0.05
Symbols,0.2,0.21094204367347064,0.05336105336105336,0.270625,0.22550251256281406,0.5278094708989081,0.5457938130606973,0.0,0.05,20,0.017984342161789235,0.05
ToeSegmentation1,0.05,0.06345791245791246,0.0,0.1,0.26173285198555957,0.1872367898112558,0.387207867752435,0.0,0.15,20,0.1999710779411792,0.15
ToeSegmentation1,0.1,0.21190690690690692,0.0,0.2625,0.19584837545126352,0.3005492739901233,0.42429552738818355,0.05,0.2,20,0.12374625339806022,0.15000000000000002
ToeSegmentation1,0.2,0.20871406522495453,0.0,0.2590909090909091,0.2160649819494585,0.3777639684739148,0.44472539904539515,0.1,0.1,20,0.06696143057148035,0.0
ToeSegmentation2,0.05,0.09949249389642097,0.0,0.1323529411764706,0.24941690962099122,0.10986896676815558,0.3561794921050175,0.05,0.1,20,0.2463105253368619,0.05
ToeSegmentation2,0.1,0.21306324352639677,0.0,0.26029411764705884,0.23979591836734696,0.45106987853810177,0.48332123217155737,0.15,0.25,20,0.032251353633455604,0.1
ToeSegmentation2,0.2,0.38353211349936805,0.3564102564102564,0.4391304347826087,0.21034985422740524,0.8404328329865163,0.755353164260336,0.4,0.3,20,-0.08507966872618022,-0.10000000000000003
Trace,0.05,0.24311546840958606,0.0,0.2857142857142857,0.14490909090909093,0.6066791739181154,0.7340856216569656,0.2,0.45,20,0.12740644773885013,0.25
Trace,0.1,0.32159738543060434,0.17907801418439717,0.39107142857142857,0.12563636363636363,0.8196718062760675,0.8458839235742512,0.2,0.4,20,0.026212117298183735,0.2
Trace,0.2,0.2748969316200564,0.08503401360544217,0.3336363636363636,0.19072727272727272,0.7361579654226666,1.036606007264633,0.25,0.45,20,0.3004480418419664,0.2
WordSynonyms,0.05,0.0,0.0,0.0,0.27574074074074073,0.15928315914375263,0.28901977203652984,0.2,0.35,20,0.12973661289277721,0.14999999999999997
WordSynonyms,0.1,0.009639048400328138,0.0,0.016666666666666666,0.29518518518518516,0.22010832012165885,0.494264424914397,0.25,0.65,20,0.2741561047927381,0.4
WordSynonyms,0.2,0.09961607874349715,0.0,0.14722222222222223,0.27185185185185184,0.348955828639109,0.615873970350287,0.35,0.8,20,0.266918141711178,0.45000000000000007
Worms,0.05,0.08627049180327868,0.0,0.11888888888888889,0.3562222222222222,0.12716853252673516,0.2986527651599411,0.05,0.05,20,0.17148423263320595,0.0
Worms,0.1,0.25285437362000707,0.0,0.3011111111111111,0.23744444444444443,0.12249979045310833,0.2305639272839375,0.05,0.0,20,0.10806413683082916,-0.05
Worms,0.2,0.24517504295639553,0.04878048780487805,0.3088888888888889,0.30594444444444446,0.228642578405467,0.2936748928400542,0.05,0.1,20,0.06503231443458721,0.05
WormsTwoClass,0.05,0.08584392014519056,0.0,0.11111111111111112,0.3672222222222222,0.1553558623926915,0.3311810150926928,0.15,0.2,20,0.17582515270000132,0.05000000000000002
WormsTwoClass,0.1,0.16499154569615687,0.0,0.21388888888888888,0.3372777777777778,0.19467582029800118,0.22655666944505107,0.1,0.1,20,0.03188084914704989,0.0
WormsTwoClass,0.2,0.33897507881675565,0.28801843317972353,0.40138888888888885,0.23255555555555554,0.31355364496487687,0.3090405614251538,0.2,0.15,20,-0.004513083539723073,-0.05000000000000002
